91 Days
Kuzu no Honkai
Kyoukai no Kanata
Legend of the Galactic Heroes
Little Witch Academia
Log Horizon
Love Live
Lovely Complex
Lucky Star
Made in Abyss
Madoka
Magi
Mahouka
Maid Dragon
Maid sama
Maquia
Mars of Destruction
Masamune-kun's Revenge
Mawaru Penguindrum
Mayo Chiki
Mekakucity Actors
Millenium Actress
Miru Tights
Mob Psycho 100
Mobile Suit Gundam
Mondaiji
Monogatari
Mononoke
Monster
Monster Musume
Mushishi
My Hero Academia
My Little Monster
Nagi no Asukara
NANA
Naruto
Natsume
Nausicaa
Neon Genesis Evangelion
Nichibros
Nichijou
Nisekoi
No 6
No Game No Life
Nodame Cantabile
Non Non Biyori
Noragami
Noucome
Nozaki kun
Occultic Nine
One Outs
One Piece
One Punch Man
One Room
Orange
Ore Monogatari
Oregairu
Oreimo
Oreshura
Osomatsu-san
Ouran High School Host Club
Overlord
Owari no Seraph
Pandora Hearts
Paprika
Paradise Kiss
Paranoia Agent
Parasyte
Penguin Highway
Perfect Blue
Persona
Ping Pong
Pingu in the City
Planetes
Plastic Memories
Pokemon
Ponyo
Pop Team Epic
Porco Rosso
Princess Jellyfish
Princess Kaguya
Princess Mononoke
Princess Principal
Princess Tutu
Prison School
Promare
Psycho Pass
Pupa
Raildex
Rainbow
Rakugo
Ranma 1/2
Re:Zero
Redline
ReLIFE
Revolutionary Girl Utena
Ride Your Wave
Rokka no Yuusha
Rosario to Vampire
Run With the Wind
Rurouni Kenshin
Saekano
Saiki
Sailor Moon
Sakamichi no Apollon
Sakamoto desu ga
Sakura Trick
Sakurasou
Samurai Champloo
Samurai Flamenco
Sangatsu no Lion
Sankarea
Sarazanmai
Sayonara Zetsubou Sensei
School Babysitters
School Days
Seitokai Yakuindomo
Sekirei
Serial Experiments Lain
Seven Deadly Sins
Shakugan no Shana
Shield Hero
Shiki
SHIMONETA
Shingeki no Bahamut
Shinmai Maou no Testament
Shinsekai yori
Shirayuki
Shirobako
Silver Spoon
Sora no Otoshimono
Sora Yori
Soul Eater
Space Brothers
Space Dandy
Special A
Spice and Wolf
Spirited Away
SSSS Gridman
Stars Align
Steins Gate
Strike the Blood
Suisei no Gargantia
Sukitte Ii na yo
Sword Art Online
Sword of the Stranger
Tanaka-kun
Tari Tari
Tasogare Otome x Amnesia
Tatami Galaxy
Teekyuu
Tenki no Ko
Texhnolyze
The Devil is a part-timer
The Girl Who Lept Through Time
The Promised Neverland
The World God Only Knows
To LOVE Ru
Tokyo Ghoul
Tokyo Godfathers
Tokyo Magnitude 8.0
Toradora
Totoro
Trigun
Trinity Seven
Tsuki ga Kirei
Tsurezure Children
Tsuritama
Tsurune
Urusei Yatsura
Usagi Drop
Vampire Knight
Vinland Saga
Violet Evergarden
Wandering Son
Watamote
Welcome to the Ballroom
Welcome to the NHK
When Marnie Was There
Whisper of the Heart
White Album
Wolf Children
Wolf Girl and Black Prince
Wolf's Rain
Working
Wotakoi
xxxHOLIC
Yama no Susume
Yamada-kun
Yosuga no Sora
Youjo Senki
Your Lie in April
Your Name
Yowamushi Pedal
Yu Gi Oh
Yu Yu Hakusho
Yuri on Ice
Yuru Camp
Zankyou no Terror
Zaregoto
Zero no Tsukaima
